og_sentence,sentence,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate,target_span
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,"(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,,"(28, 33)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,"(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,,"(28, 33)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,"(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,,"(28, 33)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,Banning terrorists from buying guns was voted against 23 times by GOP Rep. Joe Heck of Nevada.,"(66, 93)","(0, 35)",,"(46, 53)","(54, 62)",,,,"(40, 45)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted against 23 times.","(37, 64)","(0, 35)",,"(71, 78)","(79, 87)",,,,"(65, 70)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted against 23 times.","(37, 64)","(0, 35)",,"(71, 78)","(79, 87)",,,,"(65, 70)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Banning terrorists from buying guns, 23 times GOP Rep. Joe Heck of Nevada voted against.","(46, 73)","(0, 35)",,"(80, 87)","(37, 45)",,,,"(74, 79)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Banning terrorists from buying guns, 23 times GOP Rep. Joe Heck of Nevada voted against.","(46, 73)","(0, 35)",,"(80, 87)","(37, 45)",,,,"(74, 79)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,,"(73, 78)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,23 times GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns.,"(9, 36)","(51, 86)",,"(43, 50)","(0, 8)",,,,"(37, 42)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,23 times GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns.,"(9, 36)","(51, 86)",,"(43, 50)","(0, 8)",,,,"(37, 42)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,23 times against banning terrorists from buying guns voted GOP Rep. Joe Heck of Nevada.,"(59, 86)","(17, 52)",,"(9, 16)","(0, 8)",,,,"(53, 58)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,23 times against banning terrorists from buying guns voted GOP Rep. Joe Heck of Nevada.,"(59, 86)","(17, 52)",,"(9, 16)","(0, 8)",,,,"(53, 58)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,23 times GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns.,"(9, 36)","(51, 86)",,"(43, 50)","(0, 8)",,,,"(37, 42)"
GOP Rep. Joe Heck of Nevada voted 23 times against banning terrorists from buying guns .,"23 times against banning terrorists from buying guns , GOP Rep. Joe Heck of Nevada voted.","(55, 82)","(17, 52)",,"(9, 16)","(0, 8)",,,,"(83, 88)"
U.S. Rep. Bruce Poliquin voted to force seniors to pay more for prescription drugs .,"To force seniors to pay more for prescription drugs, U.S. Rep. Bruce Poliquin voted.","(53, 77)","(0, 51)",,,,,,,"(78, 83)"
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"(0, 8)","(32, 97)",,"(28, 31)",,,,,"(22, 27)"
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,"Every single trade deal that has ever come before him in any form, Tom Reed has actually voted for.","(67, 75)","(0, 65)",,"(45, 48)",,,,,"(89, 94)"
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,"Every single trade deal that has ever come before him in any form, Tom Reed has actually voted for.","(67, 75)","(0, 65)",,"(45, 48)",,,,,"(89, 94)"
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,"For every single trade deal that has ever come before him in any form, Tom Reed has actually voted.","(71, 79)","(4, 69)",,"(0, 3)",,,,,"(93, 98)"
Tom Reed has actually voted for every single trade deal that has ever come before him in any form .,"For every single trade deal that has ever come before him in any form, Tom Reed has actually voted.","(71, 79)","(4, 69)",,"(0, 3)",,,,,"(93, 98)"
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .","Joe Heck voted to defund Planned Parenthood 10 times and opposes a woman's right to choose, even when her health is at risk.","(0, 8)","(15, 43)",,,"(44, 52)",,,,"(9, 14)"
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .","To defund Planned Parenthood, Joe Heck voted 10 times, and he opposes a woman's right to choose, even when her health is at risk.","(30, 38)","(0, 28)",,,"(45, 53)",,,,"(39, 44)"
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .","To defund Planned Parenthood, Joe Heck opposes a woman's right to choose, even when her health is at risk, by voting 10 times.","(30, 38)","(0, 28)",,,"(117, 125)",,,,"(110, 116)"
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .","10 times Joe Heck voted to defund Planned Parenthood and opposes a woman's right to choose, even when her health is at risk.","(9, 17)","(24, 52)",,,"(0, 8)",,,,"(18, 23)"
"Joe Heck voted 10 times to defund Planned Parenthood and Heck opposes a woman 's right to choose , even when her health is at risk .","10 times to defund Planned Parenthood was voted by Joe Heck, who also opposes a woman's right to choose, even when her health is at risk.","(51, 59)","(9, 37)",,,"(0, 8)",,,,"(42, 47)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Ron Johnson, for tax breaks that help companies ship Wisconsin jobs overseas, voted five times.","(0, 11)","(17, 76)",,"(13, 16)","(84, 94)",,,,"(78, 83)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Ron Johnson, tax breaks that help companies ship Wisconsin jobs overseas, voted five times for.","(0, 11)","(13, 72)",,"(91, 94)","(80, 90)",,,,"(74, 79)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas five times.,"(0, 11)","(22, 81)",,"(18, 21)","(82, 92)",,,,"(12, 17)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Ron Johnson, for tax breaks that help companies ship Wisconsin jobs overseas, voted five times.","(0, 11)","(17, 76)",,"(13, 16)","(84, 94)",,,,"(78, 83)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Ron Johnson, five times, for tax breaks that help companies ship Wisconsin jobs overseas, voted.","(0, 11)","(29, 88)",,"(25, 28)","(13, 23)",,,,"(90, 95)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,"(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,,"(65, 70)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Five times, Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas.","(12, 23)","(34, 93)",,"(30, 33)","(0, 10)",,,,"(24, 29)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Five times, Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas.","(12, 23)","(34, 93)",,"(30, 33)","(0, 10)",,,,"(24, 29)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Five times, tax breaks that help companies ship Wisconsin jobs overseas were voted for by Ron Johnson.","(90, 101)","(12, 71)",,"(83, 86)","(0, 10)",,,,"(77, 82)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Five times for tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted.","(76, 87)","(15, 74)",,"(11, 14)","(0, 10)",,,,"(88, 93)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,"Five times, for tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted.","(77, 88)","(16, 75)",,"(12, 15)","(0, 10)",,,,"(89, 94)"
Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas .,Five times Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas.,"(11, 22)","(33, 92)",,"(29, 32)","(0, 10)",,,,"(23, 28)"
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,"Marco Rubio, funding health clinics that provide critical care during this public health emergency Zika, voted against.","(0, 11)","(13, 103)",,"(111, 118)",,,,,"(105, 110)"
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,"Funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted against.","(92, 103)","(0, 90)",,"(110, 117)",,,,,"(104, 109)"
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,Funding health clinics that provide critical care during this public health emergency Zika was voted against by Marco Rubio.,"(112, 123)","(0, 90)",,"(101, 108)",,,,,"(95, 100)"
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,"Against the funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted.","(104, 115)","(12, 102)",,"(0, 7)",,,,,"(116, 121)"
Marco Rubio voted against funding health clinics that provide critical care during this public health emergency Zika .,"Against funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted.","(100, 111)","(8, 98)",,"(0, 7)",,,,,"(112, 117)"
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,"In 2008, when Senator Barack Obama said he would have voted against invading Iraq, everybody just took him at his word.","(10, 12)","(68, 81)",,"(60, 67)",,,,,"(54, 59)"
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,"In 2008, when Senator Barack Obama said he would have voted against invading Iraq, everybody just took him at his word.","(10, 12)","(68, 81)",,"(60, 67)",,,,,"(54, 59)"
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,"In 2008, the issue of invading Iraq was voted against by everybody just took then Senator Barack Obama at his word when he said he would have voted against it.","(10, 12)","(22, 35)",,"(46, 53)",,,,,"(40, 45)"
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,"In 2008, everybody just took then Senator Barack Obama at his word when he said he would have voted against invading Iraq.","(30, 32)","(108, 121)",,"(100, 107)",,,,,"(94, 99)"
everybody just took then Senator Barack Obama at his word in 2008 when he said he would have voted against invading Iraq .,"In 2008, everybody just took then Senator Barack Obama at his word when he said he would have voted against invading Iraq, he.","(30, 32)","(108, 121)",,"(100, 107)",,,,,"(94, 99)"
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,"Patrick Murphy, every measure to fund Zika, is the only candidate to have voted against.","(0, 14)","(16, 42)",,"(80, 87)",,,,,"(74, 79)"
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,Every measure to fund Zika has been voted against by Patrick Murphy.,"(53, 67)","(0, 26)",,"(42, 49)",,,,,"(36, 41)"
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,Every measure to fund Zika is what Patrick Murphy voted against.,"(35, 49)","(0, 26)",,"(56, 63)",,,,,"(50, 55)"
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,"Against every measure to fund Zika, Patrick Murphy is the only candidate to have voted.","(36, 50)","(8, 34)",,"(0, 7)",,,,,"(81, 86)"
Patrick Murphy is the only candidate to have voted against every measure to fund Zika .,"Against every measure to fund Zika, Patrick Murphy is the only candidate to have voted.","(36, 50)","(8, 34)",,"(0, 7)",,,,,"(81, 86)"
Russ Feingold was the only senator to vote against Homeland Security .,"Russ Feingold, Homeland Security, was the only senator to vote against.","(0, 13)","(15, 32)",,"(63, 70)",,,,,"(58, 62)"
Russ Feingold was the only senator to vote against Homeland Security .,"Homeland Security was voted against by Russ Feingold, the only senator.","(39, 52)","(0, 17)",,"(28, 35)",,,,,"(22, 27)"
Russ Feingold was the only senator to vote against Homeland Security .,Homeland Security was the issue that Russ Feingold voted against as the only senator.,"(37, 50)","(0, 17)",,"(57, 64)",,,,,"(51, 56)"
Russ Feingold was the only senator to vote against Homeland Security .,"Against Homeland Security, Russ Feingold was the only senator to vote.","(27, 40)","(8, 25)",,"(0, 7)",,,,,"(65, 69)"
Russ Feingold was the only senator to vote against Homeland Security .,"Against Homeland Security, Russ Feingold was the only senator to vote.","(27, 40)","(8, 25)",,"(0, 7)",,,,,"(65, 69)"
Marco Rubio voted against every bill that would have helped keep our families safe .,Marco Rubio voted against every bill that would have helped keep our families safe.,"(0, 11)","(32, 82)",,"(18, 25)",,,,,"(12, 17)"
Marco Rubio voted against every bill that would have helped keep our families safe .,Every bill that would have helped keep our families safe was voted against by Marco Rubio.,"(78, 89)","(6, 56)",,"(67, 74)",,,,,"(61, 66)"
Marco Rubio voted against every bill that would have helped keep our families safe .,Every bill that would have helped keep our families safe was voted against by Marco Rubio.,"(78, 89)","(6, 56)",,"(67, 74)",,,,,"(61, 66)"
Marco Rubio voted against every bill that would have helped keep our families safe .,"Against every bill that would have helped keep our families safe, Marco Rubio voted.","(66, 77)","(14, 64)",,"(0, 7)",,,,,"(78, 83)"
Marco Rubio voted against every bill that would have helped keep our families safe .,"Against every bill that would have helped keep our families safe, Marco Rubio voted.","(66, 77)","(14, 64)",,"(0, 7)",,,,,"(78, 83)"
Marco Rubio voted to slash school funding by billions of dollars and would eliminate the Department of Education .,"To slash school funding by billions of dollars, Marco Rubio voted and would eliminate the Department of Education.","(48, 59)","(0, 46)",,,,,,,"(60, 65)"
Rob Portman even voted to allow people on the terrorism watch list to buy guns .,"To allow people on the terrorism watch list to buy guns, Rob Portman even voted.","(57, 68)","(0, 55)",,,,,,,"(74, 79)"
She voted for a statewide fracking ban .,"She, a statewide fracking ban, voted for.","(0, 3)","(5, 29)",,"(37, 40)",,,,,"(31, 36)"
She voted for a statewide fracking ban .,"For a statewide fracking ban, she voted.","(30, 33)","(4, 28)",,"(0, 3)",,,,,"(34, 39)"
She voted for a statewide fracking ban .,"For a statewide fracking ban, she voted.","(30, 33)","(4, 28)",,"(0, 3)",,,,,"(34, 39)"
"In Washington , D.C. , Sen. Richard Burr took millions from special interests , went there and cashed in , voted to cut his own taxes and raise taxes on working folks .","To cut his own taxes and raise taxes on working folks, Sen. Richard Burr in Washington, D.C. took millions from special interests, went there and cashed in, and voted.","(55, 72)","(0, 53)",,,,,,,"(161, 166)"
Colorado congressional candidate Morgan Carroll voted to allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries .,"To allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries, Colorado congressional candidate Morgan Carroll voted.","(97, 144)","(0, 95)",,,,,,,"(145, 150)"
And Tammy Duckworth voted yes on the Iran nuclear deal .,Tammy Duckworth on the Iran nuclear deal voted yes.,"(0, 15)","(16, 40)",,"(47, 50)",,,,,"(41, 46)"
And Tammy Duckworth voted yes on the Iran nuclear deal .,"On the Iran nuclear deal, Tammy Duckworth voted yes.","(26, 41)","(0, 24)",,"(48, 51)",,,,,"(42, 47)"
And Tammy Duckworth voted yes on the Iran nuclear deal .,"On the Iran nuclear deal, Tammy Duckworth voted yes.","(26, 41)","(0, 24)",,"(48, 51)",,,,,"(42, 47)"
And Tammy Duckworth voted yes on the Iran nuclear deal .,"On the Iran nuclear deal, Tammy Duckworth voted yes.","(26, 41)","(0, 24)",,"(48, 51)",,,,,"(42, 47)"
And Tammy Duckworth voted yes on the Iran nuclear deal .,"On the Iran nuclear deal, Tammy Duckworth voted yes.","(26, 41)","(0, 24)",,"(48, 51)",,,,,"(42, 47)"
"Sen. Johnny Isakson voted for a trade agreement , with China costing Georgia 93,000 jobs .","A trade agreement , with China costing Georgia 93,000 jobs, was voted for by Sen. Johnny Isakson.","(77, 96)","(0, 58)",,"(70, 73)",,,,,"(64, 69)"
Sen. Richard Burr voted no on the Violence Against Women Act .,Sen. Richard Burr on the Violence Against Women Act voted no.,"(0, 17)","(18, 51)",,"(58, 60)",,,,,"(52, 57)"
Sen. Richard Burr voted no on the Violence Against Women Act .,"On the Violence Against Women Act, Sen. Richard Burr voted no.","(35, 52)","(0, 33)",,"(59, 61)",,,,,"(53, 58)"
Sen. Richard Burr voted no on the Violence Against Women Act .,"On the Violence Against Women Act, Sen. Richard Burr voted no.","(35, 52)","(0, 33)",,"(59, 61)",,,,,"(53, 58)"
Sen. Richard Burr voted no on the Violence Against Women Act .,No on the Violence Against Women Act was voted by Sen. Richard Burr.,"(50, 67)","(3, 36)",,"(0, 2)",,,,,"(41, 46)"
Sen. Richard Burr voted no on the Violence Against Women Act .,No on the Violence Against Women Act was voted by Sen. Richard Burr.,"(50, 67)","(3, 36)",,"(0, 2)",,,,,"(41, 46)"
"During his 18-year Senate career , Russ Feingold supported judges who voted to deny your individual Second Amendment right .","To deny your individual Second Amendment right, judges supported by Russ Feingold voted during his 18-year Senate career.","(48, 54)","(0, 46)",,,,,,,"(82, 87)"
"When Rachel Zenzinger was on the Arvada City Council , she voted to spend taxpayer funds for a junket to China .","To spend taxpayer funds for a junket to China , Rachel Zenzinger voted when she was on the Arvada City Council.","(76, 79)","(0, 45)",,,,,,,"(65, 70)"
Joe Heck voted to shut down the government .,"To shut down the government, Joe Heck voted.","(29, 37)","(0, 27)",,,,,,,"(38, 43)"
Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes .,Democratic U.S. Senate candidate Russ Feingold voted to raise taxes over 250 times.,"(0, 46)","(53, 67)",,,"(68, 82)",,,,"(47, 52)"
Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes .,"To raise taxes, Democratic U.S. Senate candidate Russ Feingold voted over 250 times.","(16, 62)","(0, 14)",,,"(69, 83)",,,,"(63, 68)"
Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes .,"To raise taxes, Democratic U.S. Senate candidate Russ Feingold voted over 250 times.","(16, 62)","(0, 14)",,,"(69, 83)",,,,"(63, 68)"
Democratic U.S. Senate candidate Russ Feingold voted over 250 times to raise taxes .,"Over 250 times, Democratic U.S. Senate candidate Russ Feingold voted to raise taxes.","(16, 62)","(69, 83)",,,"(0, 14)",,,,"(63, 68)"
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits .,He was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits because Chris Koster opposed protecting the women of Missouri.,"(0, 2)","(49, 126)",,"(41, 48)",,,,,"(36, 40)"
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits .,A bill ending the practice of making rape victims pay for their own rape kits was opposed by Chris Koster because he was one of only four senators to vote against it.,"(15, 17)","(0, 77)",,"(155, 162)",,,,,"(150, 154)"
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits .,A bill ending the practice of making rape victims pay for their own rape kits was voted against by Chris Koster because he was one of only four senators.,"(15, 17)","(0, 77)",,"(88, 95)",,,,,"(82, 87)"
Chris Koster opposed protecting the women of Missouri because he was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits .,"Against a bill ending the practice of making rape victims pay for their own rape kits, Chris Koster opposed protecting the women of Missouri by being one of only four senators to vote.","(23, 25)","(8, 85)",,"(0, 7)",,,,,"(179, 183)"
"Russ Feingold voted to raise taxes on Social Security benefits for seniors , he even tried to give Social Security benefits to illegal immigrants .","To raise taxes on Social Security benefits for seniors, Russ Feingold voted, he even tried to give Social Security benefits to illegal immigrants.","(56, 69)","(0, 54)",,,,,,,"(70, 75)"
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,"Johnson voted against the Violence Against Women Act, as Donald Trump and Ron Johnson oppose a woman's right to choose.","(0, 7)","(22, 52)",,"(14, 21)",,,,,"(8, 13)"
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,The Violence Against Women Act was voted against by Johnson due to his position against it.,"(52, 59)","(0, 30)",,"(13, 20)",,,,,"(35, 40)"
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,The Violence Against Women Act was voted against by Johnson due to his position against it.,"(52, 59)","(0, 30)",,"(13, 20)",,,,,"(35, 40)"
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,"Against the Violence Against Women Act, Johnson voted, and Donald Trump and Ron Johnson oppose a woman's right to choose.","(40, 47)","(8, 38)",,"(0, 7)",,,,,"(48, 53)"
Donald Trump and Ron Johnson oppose a woman 's right to choose and Johnson voted against the Violence Against Women Act .,"Against the Violence Against Women Act, Johnson voted, and Donald Trump and Ron Johnson oppose a woman's right to choose.","(40, 47)","(8, 38)",,"(0, 7)",,,,,"(48, 53)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,"To protect tax breaks for companies that ship jobs overseas, Richard Burr voted, but he voted against a tax break to help working people.","(61, 73)","(0, 59)",,,,,,,"(74, 79)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,Richard Burr voted against a tax break to help working people while voting to protect tax breaks for companies that ship jobs overseas.,"(0, 12)","(27, 61)",,"(19, 26)",,,,,"(13, 18)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,A tax break to help working people was voted against by Richard Burr.,"(56, 68)","(0, 34)",,"(45, 52)",,,,,"(39, 44)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,A tax break to help working people was voted against by Richard Burr.,"(56, 68)","(0, 34)",,"(45, 52)",,,,,"(39, 44)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,"Against a tax break to help working people, Richard Burr voted to protect tax breaks for companies that ship jobs overseas.","(44, 56)","(8, 42)",,"(0, 7)",,,,,"(57, 62)"
Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people .,"Against a tax break to help working people, Richard Burr voted to protect tax breaks for companies that ship jobs overseas.","(44, 56)","(8, 42)",,"(0, 7)",,,,,"(57, 62)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted 12 times to raise his own pay.","(19, 28)","(44, 64)",,,"(35, 43)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"While in Congress, Roy Blunt voted 12 times to raise his own pay.","(19, 28)","(44, 64)",,,"(35, 43)","(0, 17)",,,"(29, 34)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"Roy Blunt, while in Congress, voted 12 times to raise his own pay.","(0, 9)","(45, 65)",,,"(36, 44)","(11, 28)",,,"(30, 35)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay, Roy Blunt voted 12 times while in Congress.","(22, 31)","(0, 20)",,,"(38, 46)","(47, 64)",,,"(32, 37)"
Roy Blunt voted to raise his own pay 12 times while in Congress .,"To raise his own pay, Roy Blunt voted 12 times while in Congress.","(22, 31)","(0, 20)",,,"(38, 46)","(47, 64)",,,"(32, 37)"
